storm_id,year,month,month_name,name,start_date,end_date,duration_hours,max_wind_kt,max_wind_mph,min_pressure_mb,category_num,category,is_hurricane,is_major,landfalls,observations,narrative,is_retired
AL011851,1851,6,June,UNNAMED,1851-06-25,1851-06-28,72,80,92,,1,Cat 1,1,0,1,14,"The unnamed storm of 1851 (AL011851), an early-season storm, formed in the Gulf of Mexico on June 25, 1851. The system tracked northwestward during its lifetime. It reached peak intensity as a Category 1 hurricane on June 25 with maximum sustained winds of 92 mph (80 kt). It made landfall near the northern Gulf Coast on June 25 as a Category 1 hurricane with winds of 92 mph. The system persisted for approximately 3 days. The storm was tracked across 14 observations in the HURDAT2 database. The system dissipated over the open Atlantic on June 28.",0
AL021851,1851,7,July,UNNAMED,1851-07-05,1851-07-05,0,80,92,,1,Cat 1,1,0,0,1,"The unnamed storm of 1851 (AL021851) formed in the Gulf of Mexico on July 5, 1851. The system remained nearly stationary during its lifetime. It reached peak intensity as a Category 1 hurricane on July 5 with maximum sustained winds of 92 mph (80 kt). The system was short-lived, lasting less than a day.",0
AL031851,1851,7,July,UNNAMED,1851-07-10,1851-07-10,0,50,57,,0,TS,0,0,0,1,"The unnamed storm of 1851 (AL031851) formed in the Caribbean Sea on July 10, 1851. The system remained nearly stationary during its lifetime. It reached peak intensity on July 10 with maximum sustained winds of 57 mph (50 kt). The system was short-lived, lasting less than a day.",0
AL041851,1851,8,August,UNNAMED,1851-08-16,1851-08-27,282,100,115,,3,Cat 3,1,1,1,49,"The unnamed storm of 1851 (AL041851) formed in the central Atlantic on August 16, 1851. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the western Atlantic, the Gulf of Mexico. The storm covered a vast area, spanning approximately 35 degrees of latitude. It reached peak intensity as a Category 3 hurricane on August 23 with maximum sustained winds of 115 mph (100 kt). The system first reached hurricane strength on August 17 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on August 23 as a Category 3 hurricane with winds of 115 mph. The system persisted for approximately 12 days. With a duration of approximately 12 days, it was a notably long-lived storm. The storm was tracked across 49 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 27.",0
AL051851,1851,9,September,UNNAMED,1851-09-13,1851-09-16,90,50,57,,0,TS,0,0,0,16,"The unnamed storm of 1851 (AL051851) formed in the western Atlantic off the U.S. East Coast on September 13, 1851. The system remained nearly stationary during its lifetime. It reached peak intensity on September 13 with maximum sustained winds of 57 mph (50 kt). The system persisted for approximately 4 days. The storm was tracked across 16 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 16.",0
AL061851,1851,10,October,UNNAMED,1851-10-16,1851-10-19,90,60,69,,0,TS,0,0,1,17,"The unnamed storm of 1851 (AL061851) formed in the western Atlantic off the U.S. East Coast on October 16, 1851. The system tracked northeastward during its lifetime. It reached peak intensity on October 17 with maximum sustained winds of 69 mph (60 kt). It made landfall near the northeastern U.S. coast on October 19 with winds of 57 mph. The system persisted for approximately 4 days. The storm was tracked across 17 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on October 19.",0
AL011852,1852,8,August,UNNAMED,1852-08-19,1852-08-30,264,100,115,961,3,Cat 3,1,1,1,45,"The unnamed storm of 1852 (AL011852) formed in the Caribbean Sea on August 19, 1852. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the Gulf of Mexico, the open Atlantic. The storm covered a vast area, spanning approximately 20 degrees of latitude. It reached peak intensity as a Category 3 hurricane on August 24 with maximum sustained winds of 115 mph (100 kt). The minimum central pressure was recorded at 961 mb. The system first reached hurricane strength on August 20 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on August 26 as a Category 3 hurricane with winds of 115 mph. The system persisted for approximately 11 days. With a duration of approximately 11 days, it was a notably long-lived storm. The storm was tracked across 45 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on August 30.",0
AL021852,1852,9,September,UNNAMED,1852-09-05,1852-09-06,42,70,80,,1,Cat 1,1,0,0,8,"The unnamed storm of 1852 (AL021852) formed in the Caribbean Sea on September 5, 1852. The system tracked westward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 5 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 2 days. The storm was tracked across 8 observations in the HURDAT2 database. The system dissipated over the Caribbean Sea on September 6.",0
AL031852,1852,9,September,UNNAMED,1852-09-09,1852-09-13,114,70,80,,1,Cat 1,1,0,1,20,"The unnamed storm of 1852 (AL031852) formed in the Gulf of Mexico on September 9, 1852. The system tracked eastward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 9 with maximum sustained winds of 80 mph (70 kt). It made landfall near the northern Gulf Coast on September 12 as a Category 1 hurricane with winds of 80 mph. The system persisted for approximately 5 days. The storm was tracked across 20 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 13.",0
AL041852,1852,9,September,UNNAMED,1852-09-22,1852-09-30,210,80,92,,1,Cat 1,1,0,0,36,"The unnamed storm of 1852 (AL041852) formed in the central Atlantic on September 22, 1852. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast. It reached peak intensity as a Category 1 hurricane on September 25 with maximum sustained winds of 92 mph (80 kt). The system persisted for approximately 9 days. The storm was tracked across 36 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 30.",0
AL051852,1852,10,October,UNNAMED,1852-10-06,1852-10-11,138,90,103,,2,Cat 2,1,0,1,25,"The unnamed storm of 1852 (AL051852) formed in the Caribbean Sea on October 6, 1852. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the Caribbean Sea, the Gulf of Mexico, the open Atlantic, the western Atlantic off the U.S. East Coast. It reached peak intensity as a Category 2 hurricane on October 6 with maximum sustained winds of 103 mph (90 kt). It made landfall near the northern Gulf Coast on October 9 as a Category 2 hurricane with winds of 103 mph. The system persisted for approximately 6 days. The storm was tracked across 25 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on October 11.",0
AL011853,1853,8,August,UNNAMED,1853-08-05,1853-08-05,0,50,57,,0,TS,0,0,0,1,"The unnamed storm of 1853 (AL011853) formed in the western Atlantic off the U.S. East Coast on August 5, 1853. The system remained nearly stationary during its lifetime. It reached peak intensity on August 5 with maximum sustained winds of 57 mph (50 kt). The system was short-lived, lasting less than a day.",0
AL021853,1853,8,August,UNNAMED,1853-08-10,1853-08-10,0,40,46,,0,TS,0,0,0,1,"The unnamed storm of 1853 (AL021853) formed in the Caribbean Sea on August 10, 1853. The system remained nearly stationary during its lifetime. It reached peak intensity on August 10 with maximum sustained winds of 46 mph (40 kt). The system was short-lived, lasting less than a day.",0
AL031853,1853,8,August,UNNAMED,1853-08-30,1853-09-10,282,130,149,924,4,Cat 4,1,1,0,48,"The unnamed storm of 1853 (AL031853) formed in the eastern Atlantic near the Cape Verde Islands on August 30, 1853. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the eastern Atlantic near the Cape Verde Islands, the central Atlantic, the Caribbean Sea, the western Atlantic. The storm covered a vast area, spanning approximately 34 degrees of latitude. It reached peak intensity as a Category 4 hurricane on September 3 with maximum sustained winds of 149 mph (130 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The minimum central pressure was recorded at 924 mb. The system first reached hurricane strength on September 1 and continued to intensify over the following days. The storm remained over open water and did not make landfall. The system persisted for approximately 12 days. As a Category 4 hurricane, it possessed exceptionally dangerous winds capable of catastrophic damage. With a duration of approximately 12 days, it was a notably long-lived storm. A minimum pressure of 924 mb reflected the storm's significant intensity. The storm was tracked across 48 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 10.",0
AL041853,1853,9,September,UNNAMED,1853-09-08,1853-09-10,66,100,115,,3,Cat 3,1,1,0,12,"The unnamed storm of 1853 (AL041853) formed in the open Atlantic on September 8, 1853. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 3 hurricane on September 8 with maximum sustained winds of 115 mph (100 kt). The storm remained over open water and did not make landfall. The system persisted for approximately 3 days. The storm was tracked across 12 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 10.",0
AL051853,1853,9,September,UNNAMED,1853-09-21,1853-09-21,0,50,57,,0,TS,0,0,0,1,"The unnamed storm of 1853 (AL051853) formed in the Gulf of Mexico on September 21, 1853. The system remained nearly stationary during its lifetime. It reached peak intensity on September 21 with maximum sustained winds of 57 mph (50 kt). The system was short-lived, lasting less than a day.",0
AL061853,1853,9,September,UNNAMED,1853-09-26,1853-10-01,126,70,80,,1,Cat 1,1,0,0,22,"The unnamed storm of 1853 (AL061853) formed in the central Atlantic on September 26, 1853. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 27 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 5 days. The storm was tracked across 22 observations in the HURDAT2 database. The system dissipated over the open Atlantic on October 1.",0
AL071853,1853,9,September,UNNAMED,1853-09-28,1853-09-28,0,50,57,,0,TS,0,0,0,1,"The unnamed storm of 1853 (AL071853) formed in the central Atlantic on September 28, 1853. The system remained nearly stationary during its lifetime. It reached peak intensity on September 28 with maximum sustained winds of 57 mph (50 kt). The system was short-lived, lasting less than a day.",0
AL081853,1853,10,October,UNNAMED,1853-10-19,1853-10-22,78,90,103,,2,Cat 2,1,0,0,14,"The unnamed storm of 1853 (AL081853) formed in the western Atlantic off the U.S. East Coast on October 19, 1853. The system tracked northward during its lifetime. It reached peak intensity as a Category 2 hurricane on October 20 with maximum sustained winds of 103 mph (90 kt). The system persisted for approximately 3 days. The storm was tracked across 14 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on October 22.",0
AL011854,1854,6,June,UNNAMED,1854-06-25,1854-06-27,60,70,80,,1,Cat 1,1,0,1,11,"The unnamed storm of 1854 (AL011854), an early-season storm, formed in the Gulf of Mexico on June 25, 1854. The system tracked westward during its lifetime. It reached peak intensity as a Category 1 hurricane on June 25 with maximum sustained winds of 80 mph (70 kt). It made landfall near the northern Gulf Coast on June 26 as a Category 1 hurricane with winds of 80 mph. The system persisted for approximately 2 days. The storm was tracked across 11 observations in the HURDAT2 database. The system dissipated over the open Atlantic on June 27.",0
AL021854,1854,8,August,UNNAMED,1854-08-23,1854-08-23,0,60,69,,0,TS,0,0,0,1,"The unnamed storm of 1854 (AL021854) formed in the central Atlantic on August 23, 1854. The system remained nearly stationary during its lifetime. It reached peak intensity on August 23 with maximum sustained winds of 69 mph (60 kt). The system was short-lived, lasting less than a day.",0
AL031854,1854,9,September,UNNAMED,1854-09-07,1854-09-12,138,110,126,938,3,Cat 3,1,1,1,25,"The unnamed storm of 1854 (AL031854) formed in the western Atlantic off the U.S. East Coast on September 7, 1854. It initially tracked westward through the Atlantic before recurving northeastward. It traversed a wide swath of the Atlantic, covering roughly 34 degrees of longitude. It reached peak intensity as a Category 3 hurricane on September 7 with maximum sustained winds of 126 mph (110 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The minimum central pressure was recorded at 938 mb. It made landfall near the southeastern U.S. coast on September 8 as a Category 3 hurricane with winds of 115 mph. The system persisted for approximately 6 days. A minimum pressure of 938 mb reflected the storm's significant intensity. The storm was tracked across 25 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 12.",0
AL041854,1854,9,September,UNNAMED,1854-09-18,1854-09-20,54,90,103,,2,Cat 2,1,0,1,11,"The unnamed storm of 1854 (AL041854) formed in the Gulf of Mexico on September 18, 1854. The system tracked northwestward during its lifetime. It reached peak intensity as a Category 2 hurricane on September 18 with maximum sustained winds of 103 mph (90 kt). It made landfall near the northern Gulf Coast on September 18 as a Category 2 hurricane with winds of 103 mph. The system persisted for approximately 2 days. The storm was tracked across 11 observations in the HURDAT2 database. The system dissipated over the Gulf of Mexico on September 20.",0
